Index
nFG12HeteroRing
nF7Ring
minaaO
minHsOH
ZMIC4
VR2_Dzp
VE1_Dzp
TDB4i
SssCH2
SpMin7_Bhp
RDF100s
PetitjeanNumber
LOBMIN
JGI6
HLgap
GATS8s
GATS7s
GATS1s
ATSC8c
ATSC7e
AATSC6c
